freq,psd_x,psd_y,psd_z,psd_xyz
147.7,8.106e+03,1.539e+03,2.528e+03,1.217e+04
149.2,1.001e+04,1.644e+03,3.068e+03,1.472e+04
150.7,8.547e+03,2.228e+03,3.255e+03,1.403e+04
152.2,6.730e+03,3.052e+03,3.128e+03,1.291e+04
153.7,7.951e+03,2.671e+03,3.097e+03,1.372e+04
155.2,1.352e+04,3.467e+03,4.028e+03,2.101e+04
156.7,2.733e+04,1.089e+04,7.394e+03,4.562e+04
158.3,3.783e+04,2.517e+04,9.402e+03,7.240e+04
159.8,1.852e+04,1.183e+04,5.322e+03,3.567e+04
161.3,6.407e+03,3.261e+03,3.207e+03,1.288e+04
162.8,4.811e+03,2.839e+03,3.085e+03,1.074e+04
164.3,5.561e+03,2.624e+03,3.160e+03,1.135e+04
165.8,5.408e+03,2.420e+03,2.704e+03,1.053e+04
167.3,4.908e+03,2.712e+03,2.217e+03,9.837e+03
168.8,3.970e+03,2.547e+03,2.117e+03,8.633e+03
170.3,3.862e+03,2.172e+03,2.156e+03,8.190e+03
171.8,3.916e+03,2.445e+03,2.525e+03,8.887e+03
173.3,3.291e+03,2.301e+03,2.960e+03,8.551e+03
174.8,3.418e+03,1.912e+03,2.739e+03,8.069e+03
176.3,3.191e+03,1.756e+03,2.494e+03,7.441e+03
177.9,3.219e+03,1.714e+03,2.140e+03,7.072e+03
179.4,3.178e+03,1.322e+03,2.108e+03,6.607e+03
180.9,3.061e+03,1.420e+03,2.386e+03,6.867e+03
182.4,3.602e+03,1.588e+03,2.593e+03,7.782e+03
183.9,3.541e+03,1.798e+03,2.703e+03,8.042e+03
185.4,3.350e+03,2.153e+03,3.133e+03,8.636e+03
186.9,2.953e+03,2.306e+03,3.470e+03,8.729e+03
188.4,3.205e+03,2.741e+03,4.217e+03,1.016e+04
189.9,3.113e+03,2.981e+03,4.579e+03,1.067e+04
191.4,3.047e+03,3.347e+03,5.069e+03,1.146e+04
192.9,3.056e+03,3.751e+03,5.713e+03,1.252e+04
194.4,2.922e+03,4.435e+03,6.491e+03,1.385e+04
195.9,3.181e+03,5.207e+03,7.174e+03,1.556e+04
197.4,3.117e+03,6.492e+03,7.785e+03,1.739e+04
199.0,3.309e+03,7.250e+03,8.391e+03,1.895e+04
