freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.592e+02,3.437e+02,5.517e+02,1.155e+03
1.5,1.307e+03,1.548e+03,4.249e+02,3.279e+03
3.0,1.595e+03,1.528e+03,1.761e+02,3.300e+03
4.5,1.874e+03,1.632e+03,4.370e+02,3.943e+03
6.0,1.919e+03,1.723e+03,1.177e+03,4.820e+03
7.6,1.811e+03,1.799e+03,1.902e+03,5.513e+03
9.1,1.819e+03,1.945e+03,2.679e+03,6.443e+03
10.6,1.818e+03,2.097e+03,3.599e+03,7.514e+03
12.1,1.846e+03,2.047e+03,4.885e+03,8.778e+03
13.6,1.756e+03,2.259e+03,6.681e+03,1.070e+04
15.1,1.903e+03,3.198e+03,9.133e+03,1.423e+04
16.6,1.824e+03,2.800e+03,8.144e+03,1.277e+04
18.1,1.570e+03,1.643e+03,9.007e+03,1.222e+04
19.6,1.867e+03,1.556e+03,1.298e+04,1.641e+04
21.1,2.060e+03,1.749e+03,1.713e+04,2.094e+04
22.7,1.859e+03,1.759e+03,2.092e+04,2.454e+04
24.2,1.984e+03,2.014e+03,2.553e+04,2.953e+04
25.7,2.109e+03,2.438e+03,3.108e+04,3.562e+04
27.2,2.060e+03,3.099e+03,3.442e+04,3.958e+04
28.7,1.902e+03,3.481e+03,3.595e+04,4.133e+04
30.2,1.742e+03,3.545e+03,3.683e+04,4.211e+04
31.7,1.696e+03,3.645e+03,3.595e+04,4.129e+04
33.2,1.528e+03,3.906e+03,3.786e+04,4.330e+04
34.7,1.534e+03,4.047e+03,4.407e+04,4.965e+04
36.2,1.645e+03,4.310e+03,5.295e+04,5.891e+04
37.8,1.820e+03,5.032e+03,6.693e+04,7.378e+04
39.3,1.625e+03,5.443e+03,8.507e+04,9.214e+04
40.8,1.644e+03,5.063e+03,1.068e+05,1.135e+05
42.3,1.664e+03,4.869e+03,1.420e+05,1.485e+05
43.8,1.669e+03,5.269e+03,1.914e+05,1.984e+05
45.3,2.013e+03,6.102e+03,2.252e+05,2.333e+05
46.8,1.869e+03,7.516e+03,2.509e+05,2.603e+05
48.3,1.739e+03,8.511e+03,3.016e+05,3.118e+05
49.8,1.678e+03,9.325e+03,3.693e+05,3.803e+05
51.4,1.901e+03,1.071e+04,5.203e+05,5.329e+05
52.9,2.056e+03,1.212e+04,8.921e+05,9.063e+05
54.4,2.909e+03,1.240e+04,1.684e+06,1.699e+06
55.9,4.680e+03,1.015e+04,2.527e+06,2.542e+06
57.4,5.881e+03,6.861e+03,2.415e+06,2.428e+06
58.9,6.202e+03,7.795e+03,1.876e+06,1.890e+06
60.4,4.854e+03,1.159e+04,1.467e+06,1.483e+06
61.9,4.111e+03,1.860e+04,1.151e+06,1.174e+06
63.4,3.156e+03,2.471e+04,8.736e+05,9.015e+05
64.9,2.520e+03,2.939e+04,6.549e+05,6.868e+05
66.5,2.571e+03,3.270e+04,4.878e+05,5.231e+05
68.0,2.824e+03,4.011e+04,3.783e+05,4.213e+05
69.5,2.852e+03,5.499e+04,3.088e+05,3.666e+05
71.0,2.637e+03,8.104e+04,2.600e+05,3.437e+05
72.5,2.580e+03,1.219e+05,2.214e+05,3.459e+05
74.0,2.351e+03,1.839e+05,1.779e+05,3.641e+05
75.5,2.684e+03,2.690e+05,1.326e+05,4.042e+05
77.0,7.062e+03,3.617e+05,9.645e+04,4.652e+05
78.5,1.548e+04,3.791e+05,7.458e+04,4.692e+05
80.0,2.003e+04,3.330e+05,6.690e+04,4.200e+05
81.6,1.631e+04,2.637e+05,6.436e+04,3.443e+05
83.1,1.017e+04,1.992e+05,6.469e+04,2.740e+05
84.6,8.901e+03,1.585e+05,6.686e+04,2.342e+05
86.1,6.976e+03,1.312e+05,7.042e+04,2.086e+05
87.6,5.338e+03,1.136e+05,7.262e+04,1.915e+05
89.1,5.401e+03,9.572e+04,7.411e+04,1.752e+05
90.6,5.423e+03,8.087e+04,7.407e+04,1.604e+05
92.1,4.733e+03,6.966e+04,7.240e+04,1.468e+05
93.6,4.288e+03,6.275e+04,7.164e+04,1.387e+05
95.2,3.307e+03,5.922e+04,7.362e+04,1.362e+05
96.7,3.233e+03,5.325e+04,7.486e+04,1.313e+05
98.2,3.225e+03,4.571e+04,7.358e+04,1.225e+05
99.7,2.826e+03,4.006e+04,7.062e+04,1.135e+05
101.2,2.610e+03,3.551e+04,6.649e+04,1.046e+05
102.7,2.600e+03,3.057e+04,6.225e+04,9.542e+04
104.2,2.404e+03,2.517e+04,5.487e+04,8.245e+04
105.7,2.334e+03,2.079e+04,4.786e+04,7.098e+04
107.2,2.201e+03,1.924e+04,4.674e+04,6.818e+04
108.7,2.495e+03,1.797e+04,4.613e+04,6.660e+04
110.3,2.855e+03,1.665e+04,4.447e+04,6.398e+04
111.8,3.256e+03,1.542e+04,4.166e+04,6.033e+04
113.3,3.844e+03,1.452e+04,4.131e+04,5.967e+04
114.8,3.979e+03,1.527e+04,4.751e+04,6.676e+04
116.3,3.544e+03,1.528e+04,5.146e+04,7.028e+04
117.8,3.598e+03,1.423e+04,5.125e+04,6.908e+04
119.3,3.452e+03,1.303e+04,5.105e+04,6.753e+04
120.8,3.276e+03,1.192e+04,5.042e+04,6.562e+04
122.3,3.279e+03,1.065e+04,5.000e+04,6.393e+04
123.8,3.469e+03,9.913e+03,5.052e+04,6.390e+04
125.4,3.300e+03,9.057e+03,5.136e+04,6.372e+04
126.9,3.392e+03,8.325e+03,5.096e+04,6.267e+04
