freq,psd_x,psd_y,psd_z,psd_xyz
128.4,3.437e+03,7.838e+03,4.999e+04,6.126e+04
129.9,3.497e+03,7.434e+03,4.957e+04,6.050e+04
131.4,3.262e+03,6.695e+03,4.747e+04,5.742e+04
132.9,2.570e+03,3.911e+03,2.534e+04,3.182e+04
134.4,1.973e+03,1.691e+03,3.996e+03,7.660e+03
135.9,2.276e+03,1.669e+03,1.968e+03,5.913e+03
137.4,2.352e+03,1.529e+03,1.843e+03,5.724e+03
139.0,2.465e+03,1.626e+03,1.860e+03,5.952e+03
140.5,2.384e+03,1.622e+03,1.998e+03,6.003e+03
142.0,2.283e+03,1.431e+03,2.140e+03,5.853e+03
143.5,2.469e+03,1.329e+03,2.198e+03,5.996e+03
145.0,3.240e+03,1.223e+03,2.162e+03,6.625e+03
146.5,5.211e+03,1.040e+03,2.231e+03,8.483e+03
148.0,8.092e+03,1.155e+03,2.623e+03,1.187e+04
149.5,1.118e+04,1.532e+03,3.292e+03,1.600e+04
151.0,1.362e+04,2.153e+03,3.938e+03,1.971e+04
152.5,1.080e+04,3.065e+03,4.072e+03,1.793e+04
154.1,8.046e+03,3.816e+03,3.819e+03,1.568e+04
155.6,6.071e+03,3.795e+03,3.649e+03,1.351e+04
157.1,5.291e+03,3.595e+03,3.621e+03,1.251e+04
158.6,5.322e+03,3.303e+03,3.768e+03,1.239e+04
160.1,5.643e+03,3.007e+03,3.479e+03,1.213e+04
161.6,4.779e+03,2.466e+03,2.942e+03,1.019e+04
163.1,4.546e+03,2.312e+03,2.562e+03,9.420e+03
164.6,4.821e+03,2.229e+03,2.459e+03,9.509e+03
166.1,4.580e+03,2.155e+03,2.541e+03,9.275e+03
167.6,4.217e+03,2.106e+03,2.313e+03,8.636e+03
169.2,3.449e+03,1.802e+03,1.920e+03,7.171e+03
170.7,3.149e+03,1.651e+03,1.904e+03,6.705e+03
172.2,2.959e+03,1.522e+03,2.354e+03,6.836e+03
173.7,2.522e+03,1.461e+03,2.726e+03,6.709e+03
175.2,2.225e+03,1.344e+03,2.441e+03,6.010e+03
176.7,1.913e+03,1.373e+03,2.202e+03,5.488e+03
178.2,2.397e+03,1.594e+03,2.040e+03,6.031e+03
179.7,2.346e+03,1.411e+03,2.301e+03,6.059e+03
181.2,2.351e+03,1.483e+03,2.668e+03,6.502e+03
182.7,2.235e+03,1.467e+03,2.968e+03,6.669e+03
184.3,2.316e+03,1.779e+03,3.226e+03,7.320e+03
185.8,2.329e+03,2.047e+03,3.874e+03,8.250e+03
187.3,2.481e+03,2.393e+03,4.314e+03,9.188e+03
188.8,3.158e+03,2.823e+03,4.687e+03,1.067e+04
190.3,3.108e+03,3.098e+03,5.183e+03,1.139e+04
191.8,2.576e+03,3.596e+03,5.777e+03,1.195e+04
193.3,2.519e+03,4.333e+03,6.399e+03,1.325e+04
194.8,2.435e+03,4.672e+03,7.291e+03,1.440e+04
196.3,2.510e+03,5.700e+03,8.155e+03,1.636e+04
197.9,2.112e+03,7.370e+03,8.988e+03,1.847e+04
199.4,2.053e+03,8.942e+03,1.007e+04,2.106e+04
