freq,psd_x,psd_y,psd_z,psd_xyz
143.4,2.089e+04,3.333e+03,1.428e+02,2.437e+04
144.9,2.757e+04,4.482e+03,1.609e+02,3.221e+04
146.4,3.534e+04,5.568e+03,1.797e+02,4.109e+04
147.9,4.272e+04,6.526e+03,1.951e+02,4.944e+04
149.5,4.779e+04,6.914e+03,2.353e+02,5.494e+04
151.0,4.505e+04,6.490e+03,2.863e+02,5.183e+04
152.5,3.859e+04,5.753e+03,2.967e+02,4.464e+04
154.0,3.103e+04,4.985e+03,3.069e+02,3.632e+04
155.5,2.478e+04,4.308e+03,3.878e+02,2.947e+04
157.0,1.998e+04,3.854e+03,5.167e+02,2.435e+04
158.5,1.625e+04,3.520e+03,6.545e+02,2.042e+04
160.0,1.237e+04,3.085e+03,7.327e+02,1.619e+04
161.5,8.888e+03,2.486e+03,9.375e+02,1.231e+04
163.0,6.756e+03,1.974e+03,1.098e+03,9.828e+03
164.5,6.675e+03,1.518e+03,9.768e+02,9.170e+03
166.1,6.988e+03,1.041e+03,9.212e+02,8.951e+03
167.6,7.049e+03,6.312e+02,9.440e+02,8.624e+03
169.1,6.564e+03,3.651e+02,8.705e+02,7.799e+03
170.6,6.521e+03,3.488e+02,8.506e+02,7.720e+03
172.1,7.222e+03,5.407e+02,9.716e+02,8.735e+03
173.6,6.830e+03,7.381e+02,1.001e+03,8.569e+03
175.1,5.733e+03,8.610e+02,9.117e+02,7.505e+03
176.6,5.089e+03,9.527e+02,8.900e+02,6.932e+03
178.1,4.708e+03,9.471e+02,9.242e+02,6.579e+03
179.6,4.542e+03,9.071e+02,1.032e+03,6.481e+03
181.2,4.545e+03,9.232e+02,1.170e+03,6.638e+03
182.7,4.452e+03,8.880e+02,1.308e+03,6.648e+03
184.2,4.393e+03,7.550e+02,1.415e+03,6.563e+03
185.7,4.473e+03,6.627e+02,1.489e+03,6.625e+03
187.2,4.739e+03,6.002e+02,1.525e+03,6.864e+03
188.7,5.139e+03,5.514e+02,1.586e+03,7.276e+03
190.2,5.367e+03,5.635e+02,1.641e+03,7.571e+03
191.7,5.481e+03,6.066e+02,1.588e+03,7.675e+03
193.2,5.503e+03,6.672e+02,1.490e+03,7.660e+03
194.7,5.705e+03,8.211e+02,1.471e+03,7.997e+03
196.3,5.908e+03,9.775e+02,1.522e+03,8.407e+03
197.8,6.388e+03,1.190e+03,1.803e+03,9.381e+03
199.3,7.359e+03,1.374e+03,2.220e+03,1.095e+04
