freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.126e+02,6.502e+00,9.300e+00,6.284e+02
1.5,3.921e+02,2.509e+01,2.825e+01,4.454e+02
3.0,6.084e+01,3.012e+01,2.731e+01,1.183e+02
4.5,2.896e+02,3.000e+01,2.508e+01,3.447e+02
6.0,1.100e+03,3.679e+01,2.405e+01,1.160e+03
7.5,1.823e+03,3.156e+01,2.492e+01,1.880e+03
9.0,2.610e+03,3.097e+01,2.441e+01,2.665e+03
10.5,3.539e+03,3.066e+01,2.403e+01,3.594e+03
12.0,4.657e+03,3.120e+01,2.648e+01,4.715e+03
13.6,6.058e+03,4.080e+01,2.676e+01,6.126e+03
15.1,7.799e+03,1.055e+02,7.554e+01,7.980e+03
16.6,9.052e+03,2.052e+02,1.641e+02,9.421e+03
18.1,1.147e+04,1.181e+02,1.207e+02,1.171e+04
19.6,1.544e+04,9.341e+01,1.238e+02,1.566e+04
21.1,1.779e+04,1.079e+02,1.920e+02,1.809e+04
22.6,1.405e+04,8.687e+01,2.314e+02,1.437e+04
24.1,1.181e+04,5.667e+01,1.806e+02,1.205e+04
25.6,1.376e+04,4.004e+01,1.648e+02,1.397e+04
27.1,1.678e+04,3.642e+01,1.617e+02,1.698e+04
28.6,1.991e+04,3.827e+01,1.515e+02,2.010e+04
30.1,2.311e+04,3.812e+01,1.429e+02,2.329e+04
31.6,2.675e+04,3.948e+01,1.331e+02,2.692e+04
33.1,3.038e+04,3.853e+01,1.206e+02,3.054e+04
34.6,3.445e+04,4.056e+01,1.089e+02,3.460e+04
36.1,3.885e+04,4.162e+01,1.203e+02,3.902e+04
37.6,4.469e+04,3.981e+01,1.285e+02,4.486e+04
39.2,5.030e+04,3.860e+01,1.328e+02,5.047e+04
40.7,5.772e+04,3.933e+01,1.959e+02,5.796e+04
42.2,6.728e+04,4.658e+01,3.203e+02,6.765e+04
43.7,7.546e+04,4.789e+01,4.424e+02,7.595e+04
45.2,8.499e+04,4.269e+01,6.957e+02,8.573e+04
46.7,9.916e+04,4.382e+01,1.187e+03,1.004e+05
48.2,1.153e+05,4.594e+01,2.448e+03,1.178e+05
49.7,1.306e+05,5.415e+01,5.914e+03,1.365e+05
51.2,1.497e+05,8.977e+01,1.026e+04,1.600e+05
52.7,1.736e+05,1.553e+02,1.248e+04,1.862e+05
54.2,2.063e+05,2.117e+02,1.203e+04,2.186e+05
55.7,2.478e+05,2.576e+02,1.023e+04,2.582e+05
57.2,2.918e+05,2.879e+02,7.729e+03,2.998e+05
58.7,3.573e+05,3.294e+02,6.097e+03,3.638e+05
60.2,4.628e+05,3.492e+02,6.018e+03,4.692e+05
61.7,6.216e+05,3.384e+02,7.024e+03,6.290e+05
63.3,9.037e+05,4.028e+02,9.649e+03,9.137e+05
64.8,1.378e+06,5.936e+02,1.148e+04,1.390e+06
66.3,1.674e+06,8.170e+02,6.656e+03,1.681e+06
67.8,1.407e+06,1.324e+03,4.427e+03,1.412e+06
69.3,1.205e+06,2.623e+03,7.523e+03,1.215e+06
70.8,1.488e+06,5.802e+03,7.514e+03,1.502e+06
72.3,2.004e+06,1.054e+04,6.781e+03,2.021e+06
73.8,2.486e+06,1.396e+04,6.373e+03,2.507e+06
75.3,2.868e+06,1.525e+04,6.303e+03,2.890e+06
76.8,3.043e+06,1.518e+04,5.434e+03,3.064e+06
78.3,2.982e+06,1.182e+04,4.156e+03,2.998e+06
79.8,2.679e+06,7.417e+03,3.392e+03,2.690e+06
81.3,2.268e+06,5.217e+03,2.979e+03,2.276e+06
82.8,1.888e+06,4.396e+03,2.568e+03,1.894e+06
84.3,1.586e+06,3.999e+03,2.003e+03,1.592e+06
85.8,1.333e+06,3.577e+03,1.536e+03,1.338e+06
87.3,1.142e+06,3.370e+03,1.202e+03,1.147e+06
88.9,9.932e+05,3.252e+03,9.262e+02,9.974e+05
90.4,8.631e+05,3.130e+03,7.247e+02,8.670e+05
91.9,7.635e+05,3.001e+03,6.564e+02,7.672e+05
93.4,6.804e+05,2.877e+03,6.753e+02,6.840e+05
94.9,6.140e+05,2.728e+03,7.031e+02,6.174e+05
96.4,5.593e+05,2.618e+03,8.090e+02,5.628e+05
97.9,5.145e+05,2.464e+03,9.197e+02,5.179e+05
99.4,4.704e+05,2.312e+03,1.004e+03,4.737e+05
100.9,4.273e+05,2.177e+03,1.071e+03,4.306e+05
102.4,3.884e+05,2.092e+03,1.070e+03,3.915e+05
103.9,3.343e+05,1.968e+03,9.905e+02,3.373e+05
105.4,2.766e+05,1.900e+03,8.927e+02,2.794e+05
106.9,2.531e+05,1.831e+03,8.317e+02,2.558e+05
108.4,2.368e+05,1.819e+03,7.922e+02,2.394e+05
109.9,2.230e+05,1.840e+03,7.690e+02,2.256e+05
111.4,2.116e+05,1.836e+03,8.143e+02,2.142e+05
112.9,1.990e+05,1.798e+03,8.806e+02,2.016e+05
114.5,1.847e+05,1.669e+03,9.065e+02,1.873e+05
116.0,1.700e+05,1.479e+03,9.235e+02,1.724e+05
117.5,1.659e+05,1.479e+03,9.358e+02,1.683e+05
119.0,1.831e+05,1.795e+03,1.477e+03,1.864e+05
120.5,1.899e+05,1.816e+03,1.946e+03,1.937e+05
122.0,1.863e+05,1.817e+03,1.971e+03,1.901e+05
123.5,1.873e+05,1.935e+03,1.983e+03,1.912e+05
125.0,1.915e+05,2.171e+03,2.029e+03,1.957e+05
126.5,1.948e+05,2.553e+03,1.997e+03,1.994e+05
128.0,2.016e+05,3.126e+03,2.072e+03,2.068e+05
129.5,2.117e+05,3.905e+03,2.108e+03,2.177e+05
131.0,2.148e+05,4.625e+03,1.924e+03,2.214e+05
132.5,1.499e+05,3.748e+03,1.259e+03,1.550e+05
134.0,3.237e+04,1.418e+03,2.803e+02,3.407e+04
135.5,1.301e+04,1.236e+03,1.401e+02,1.438e+04
137.0,1.424e+04,1.451e+03,1.832e+02,1.588e+04
138.6,1.624e+04,1.782e+03,3.329e+02,1.835e+04
140.1,2.036e+04,2.486e+03,2.676e+02,2.312e+04
141.6,2.456e+04,3.414e+03,1.811e+02,2.816e+04
143.1,3.528e+04,5.385e+03,2.646e+02,4.093e+04
